Abarth,AC,Aixam,Alfa Romeo,Ariel,Aston Martin,Audi,Austin,Bentley,BMW,Bugatti,Cadillac,Caterman,Chevrolet,Chrysler,Citroen,Daewoo,Daf,Daihatsu,Dodge,Ferrari,Fiat,Ford,Hillman,Honda,Hyundai,Isuzu,Jaguar,Jeep,Kia,Land Rover,Lexus,Lincoln,Lotus,Maserati,Mazda,Mercedes,MG,MINI,Mitsubishi,Morris,Nissan,Noble,Opel,Peugeot,Porsche,Proton,Renault ,Riley,Rolls-Royce,Rover,SAAB,Santana,Seat,Skoda,Smart,SsangYong,Subaru,Suzuki,Talbot,Tata,Toyota,Triumph,TVR,Vauxhall,Volkswagon,Volvo,Westfield
500,Ace,500,145,Atom,DB2,100,1300,Arnage,1 Series,Veyron,BLS,,Astro,300C,2CV,Espero,Swift,Charade,Avenger,246,1200,Anglia,Avenger,Accord,Accent,Bighorn,E-Type,Cherokee,Carens,Defender,GS,Blackwood,Elan,3200,121,180,MGB,Cooper,3000GT,Ital,100SX,M12,Ascona,1007,911,Compact,5,Kestrel,Corniche,100,9 3,PS-10,Alhambra,Fabia,City-Cabriolet,Korando,Forester,Alto,Samba,TL4,4-Runner,2000,290,Agila,Bettle,440,Megablade
Grande Punto Hatchback,Cobra,500.5,146,,DB6,80,A40,Azure,3 Series,,Brougman,,Avalanche,Crossfire,AX,Kalos,,Copen,Caliber,250,124,C-Max,Hunter,Civic,Amica,MU,S-Type,Commander,Ceed,Discovery,IS,Navigator,Elise,4200,3,190,MGF,Cooper S,Carisma,Cowley,180SX,,Astra,106,924,Coupe,11,,Phantom,200,9 5,,Altea,Felicia,City-Coupe,Kyron,Impreza,Baleno,Sunbeam,,Alphard,Dolomite,Cerbera,Antara,Bora,460,
,,A751,147,,DB7,90,A50,Brooklands,5 Series,,CTS,,Aveo,Grand Voyager,Berlingo,Korando,,Cuore,Caravan,308,126,Capri,Minx,Concerto,Atoz,Rodeo,Sovereign,Compass,Cerato,Freelander,LS,Limousine,Elite,Grancabrio,323,200,Midget,Countryman,Challenger,Marina,200SX,,Corsa,107,928,Gen-2,19,,Silver Shadow,25,9 0,,Arosa,Octavia,Forfour,Musso,Justy,Cappuccino,,,Altezza,Spitfire,Chimaera,Astra,Caddy,480,
,,Roadline,156,,DB9,A1,Allegro,Continental,6 Series,,Escalade,,Beretta,Neon,Berlingo Multispace,Lacetti,,Fourtrack,Challenger,328,130,Cortina,,CR-V,Coupe,TF,X-Type,Grand Cherokee,Clarus,Freelander 2,RX,Town Car,Esprit,GranSport,626,220,Roadster,First,Chariot,Mini,300ZX,,Manta,205,944,GL,21,,Silver Spirit,400,900,,Cordoba,Roomster,Fortwo,Rexton,Legacy,Grand Vitara,,,Auris,Stag,Griffith,Astravan,Caravelle,850,
,,,159,,DBS,A2,Healey,Continental GTC,7 Series,,Seville,,Blazer,PT Cruiser,BX,Lanos,,Grand Move,Charger,348,1400,Cougar,,CR-X,Elantra,Trooper,XF,Patriot,Magentis,Range Rover,SC,,Exige,GranTurismo,B-Series,230,TF,One,Colt,Minor,350Z,,Omega,206,968,Impian,25,,,45,9000,,Exeo,Superb,Fortwo Coupe,Rodius,Outback,Ignis,,,Avensis,TR6,Sagaris,Calibra,Corrado,740,
,,,164,,Rapide,A3,Maestro,Eight,Alpina,,STS,,Camaro,Sebring,C-Crosser,Leganza,,Hijet,Dakota,360,2300,Econoline,,CR-Z,Getz,,XJ,Wrangler,Mentor,Range Rover Sport,Soarer,,,Quattroporte,Bongo,240,X Power,,Delica,,370Z,,Vectra,206 cc,997,Jumbuck,Caravelle,,,600,9 6,,Ibiza,Yeti,Roadster,Sports,Sambar,Ignis Sport,,,Avensis Verso,TR6,Tuscan,Carlton,Eos,850,
,,,166,,V8,A4,Mini,MKIV,M Roadster,,,,Captiva,Stratus,C1,Matiz,,Materia,Durango,365,500,Escape,,FR-V,Grandeur,,XJS,,Picanto,,,,,Spyder,BT-50,250,ZR,,FTO,,Almera,,Zafira,207,Boxter,Persona,Clio,,,75,,,Leon,,,,SVX,Jimny,,,Aygo,TR7,,Cavalier,Fox,940,
,,,2000,,Vanquish,A5,Seven,Mulsanne,M3,,,,Chevy,Voyager,C2,Musso,,Move,Journey,412,Abarth,Escort,,HR-V,i10,,XK,,Pro Ceed,,,,,,CX-7,280,ZS,,Galant,,Almera Tino,,,207 cc,Carrera,Satria,Espace,,,800,,,Toledo,,,,Tribeca,Liana,,,BB,,,Combo,Golf,960,
,,,8C,,Vantage,A8,,R-Type,M5,,,,Corvette,,C3,Nexia,,Sirion,Magnum,456,Barchetta,Excursion,,Insight,i20,,,,Rio,,,,,,Demio,300,ZT,,Grandis,,Bluebird,,,3008,Cayenne,Savvy,Grand Espace,,,Coupe,,,,,,,,Splash,,,Camry,,,Corsa,Golf Plus,C30,
,,,Brera,,Virage,Allroad,,Series III,M6,,,,Cruze,,C3 Picasso,Nubira,,Sportrak,Nitro,458,Brava,Expedition,,Integra,i30,,,,Sedona,,,,,,Eunos,420,ZT-T,,GTO,,Cube,,,306,Cayman,WIRA,Grand Modus,,,CityRover,,,,,,,,Swift,,,Carina,,,Frontera,Jetta,C70,
,,,Giulia,,Volante,Cabriolet,,T Series,X1,,,,Epica,,C4,Tacuma,,Terios,Ram,500,Bravo,Explorer,,Jazz,i800,,,,Shuma,,,,,,Mazda2,500,,,L200,,Elgrand,,,307,Panamera,,Grand Scenic,,,Metro,,,,,,,,SX4,,,Celica,,,Insignia,Karmann,Cross Country,
,,,Giulietta,,,Convertible,,Turbo-R,X3,,,,GMC,,C4 Grand Picasso,,,YRV,SRT-10,512,Cinquecento,Fiesta,,Legend,ix35,,,,Sorento,,,,,,Mazda3,A-Class,,,L300,,Figaro,,,309,,,Kango,,,MGF,,,,,,,,Vitara,,,Chaser,,,Meriva,Lupo,S40,
,,,GT,,,Coupe,,,X5,,,,Kalos,,C4 Picasso,,,,Viper,550,Coupe,Focus,,Logo,Lantra,,,,Soul,,,,,,Mazda5,B-Class,,,Lancer,,GT-R,,,307 cc,,,Koleos,,,Mini,,,,,,,,Wagon R,,,Corolla,,,Monaro,Passat,S60,
,,,GTV,,,Q5,,,X6,,,,Lacetti,,C5,,,,,575M,Croma,Focus C-Max,,NSX,Matrix,,,,Sportage,,,,,,Mazda6,C-Class,,,Outlander,,Juke,,,308,,,Laguna,,,P5,,,,,,,,XL-7,,,Corolla Verso,,,Monterey,Polo,S70,
,,,MiTo,,,Q7,,,Z3,,,,Matiz,,C6,,,,,599,Doblo,Freda,,Odyssey,S-Coupe,,,,Venga,,,,,,MPV,CE-Class,,,Pajero,,Laurel,,,308 cc,,,Megane,,,SD1,,,,,,,,X-90,,,Cresidda,,,Nova,Scirocco,S80,
,,,RZ,,,Quattro,,,Z4,,,,S10,,C8,,,,,612,Doblo Cargo,Fusion,,Prelude,Santa Fe,,,,,,,,,,MX-3,CL-Class,,,Pinin,,Maxima,,,4007,,,Megane Scenic,,,Streetwise,,,,,,,,,,,Corona,,,Omega,Sharan,V40,
,,,Spider,,,R8,,,Z8,,,,Silverado,,Dispatch,,,,,California,Grande Punto,Galaxy,,S-MX,Sonata,,,,,,,,,,MX-5,CLC-Class,,,Shogun,,Micra,,,405,,,Modus,,,,,,,,,,,,,,Estima,,,Signum,Tiguan,V50,
,,,,,,RS2,,,,,,,Spark,,DS3,,,,,Dino,Idea,Granada,,S2000,Terracan,,,,,,,,,,MX-6,CLK-Class,,,Space Star,,Murano,,,406,,,Scenic,,,,,,,,,,,,,,Hiace,,,Sintra,Touareg,V70,
,,,,,,RS4,,,,,,,SSR,,ID,,,,,Enzo,Marea,GT,,Shuttle,Trajet,,,,,,,,,,Premacy,CLS-Class,,,Space Wagon,,Navara,,,407,,,Sport Spider,,,,,,,,,,,,,,Hilux,,,Tigra,Touran,V90,
,,,,,,RS5,,,,,,,Suburban,,Nemo,,,,,F355,Multipla,Ka,,Stepwagon,Tucson,,,,,,,,,,RX7,E-Class,,,Starion,,Note,,,5008,,,Twingo,,,,,,,,,,,,,,iQ,,,Vectra,Transporter,XC60,
,,,,,,RS6,,,,,,,Tacuma,,Nemo Multispace,,,,,F40,Panda,Kuga,,Stream,X2,,,,,,,,,,RX-8,GL-Class,,,,,NV 200,,,605,,,Vel Satis,,,,,,,,,,,,,,Land Cruiser,,,Vivaro,Vento,XC70,
,,,,,,S2,,,,,,,Tahoe,,Pluriel,,,,,F430,Punto,Maverick,,,XG30,,,,,,,,,,Tribute,M-Class,,,,,Primera,,,607,,,Wind,,,,,,,,,,,,,,Liteace,,,VX220,,XC90,
,,,,,,S3,,,,,,,,,Saxo,,,,,F50,Punto Evo,Mondeo,,,,,,,,,,,,,Xedos,ML-Class,,,,,Pathfinder,,,806,,,,,,,,,,,,,,,,,Ludica,,,VXR8,,,
,,,,,,S4,,,,,,,,,SM,,,,,F512,Qubo,Mustang,,,,,,,,,,,,,,R-Class,,,,,Patrol,,,807,,,,,,,,,,,,,,,,,MR-S,,,Zafira,,,
,,,,,,S5,,,,,,,,,Synergie,,,,,Mondial,Scudo,Orion,,,,,,,,,,,,,,S-Class,,,,,Pixo,,,Bipper Tepee,,,,,,,,,,,,,,,,,MR-2,,,,,,
,,,,,,S6,,,,,,,,,Xantia,,,,,Testarossa,Scudo Combi,Probe,,,,,,,,,,,,,,SL-Class,,,,,Primera,,,Expert Tepee,,,,,,,,,,,,,,,,,Noah,,,,,,
,,,,,,S8,,,,,,,,,XM,,,,,,Sedici,Puma,,,,,,,,,,,,,,SLK-Class,,,,,Pulsar,,,Partner,,,,,,,,,,,,,,,,,Paseo,,,,,,
